,prop_pk1,prop_1,prop_2,prop_3,prop_4,prop_pk2,uf,partido,orgao
0,BANCADA-AL,,BANCADA DE ALAGOAS,BANCADA AL,,BANCADA-AL,,,
1,MINISTERIO DAS COMUNICACOES,MCOM (CD),MCOM,MINISTERIO DAS COMUNICACOES,,MINISTERIO DAS COMUNICACOES,,,
2,BANCADA-ES,BANCADA DO ESPIRITO SANTO,Bancada do Espírito Santo,BANCADA ES,,BANCADA-ES,,,
3,BANCADA-MA,BANCADA MA,BANCADA DO MARANHAO,BANCADA DEPUTADOS DO MARANHAO,,BANCADA-MA,,,
4,BANCADA-MG,,BANCADA DE MINAS GERAIS,BANCADA MG,,BANCADA-MG,,,
5,CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,,,CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,,CENTRO GESTOR E OPERACIONAL DO SISTEMA DE PROTECAO DA AMAZONIA,,,
6,EMENDA DE COMISSAO DE FINANCAS E TRIBUTACAO,,,EMENDA DE COMISSAO DE FINANCAS E TRIBUTACAO,,EMENDA DE COMISSAO DE FINANCAS E TRIBUTACAO,,,
7,"MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAÇOES",MCTI,"Ministério da Ciência, Tecnologia e Inovações",INOVACOES E COMUNICACOES,"MINISTERIO DA CIENCIA, TECNOLOGIA, INOVACOES  E COMUNICACOES","MINISTERIO DA CIENCIA, TECNOLOGIA E INOVAÇOES",,,
8,MINISTERIO DA AGRICULTURA,,MAPA,MINISTERIO DA AGRICULTURA,,MINISTERIO DA AGRICULTURA,,,
9,MINISTERIO DA CIDADANIA,,,MINISTERIO DA CIDADANIA,,MINISTERIO DA CIDADANIA,,,
10,MINISTERIO DA CIENCIA,,,MINISTERIO DA CIENCIA,,MINISTERIO DA CIENCIA,,,
11,MINISTERIO DA EDUCACAO,,,MINISTERIO DA EDUCACAO,,MINISTERIO DA EDUCACAO,,,
12,MINISTERIO DA JUSTICA,,,MINISTERIO DA JUSTICA,,MINISTERIO DA JUSTICA,,,
13,MINISTERIO DA SAUDE,,,MINISTERIO DA SAUDE,,MINISTERIO DA SAUDE,,,
14,PATRIA VOLUNTARIA,,,PATRIA VOLUNTARIA,,PATRIA VOLUNTARIA,,,
15,POLICIA RODOVIARIA FEDERAL,,,POLICIA RODOVIARIA FEDERAL,,POLICIA RODOVIARIA FEDERAL,,,
16,POLICIA RODOVIARIA FEDERAL-AM,,POLICIA RODOVIARIA FEDERAL AM,POLICIA RODOVIARIA FEDERAL-AM,,POLICIA RODOVIARIA FEDERAL-AM,,,
17,TECNOLOGIA,,,TECNOLOGIA,,TECNOLOGIA,,,
18,BANCADA-SP,,,BANCADA DE SAO PAULO,,BANCADA-SP,,,
19,BANCADA-PA,,,BANCADA DO PARA,,BANCADA-PA,,,
20,CENSIPAM,,,CENSIPAM,,CENSIPAM,,,
21,COMISSAO CAMARA,,,COMISSAO CAMARA,,COMISSAO CAMARA,,,
22,POLICIA RODOVIARIA FEDERAL-RO,,,POLICIA RODOVIARIA FEDERAL RO,,POLICIA RODOVIARIA FEDERAL-RO,,,
23,COMISSAO DE ORCAMENTO E FINANCAS,,,COMISSAO DE ORCAMENTO E FINANCAS,,COMISSAO DE ORCAMENTO E FINANCAS,,,
24,MINISTERIO DAS COMUNICACOES (MS),,,MINISTERIO DAS COMUNICACOES (MS),,MINISTERIO DAS COMUNICACOES (MS),,,
25,MINISTERIO DO MEIO AMBIENTE,,,MINISTERIO DO MEIO AMBIENTE,,MINISTERIO DO MEIO AMBIENTE,,,
26,PRF-AM,,,,PRF-AM,PRF-AM,,,
27,,,,,,,,,
28,,,,,,,,,
29,,,,,,,,,
30,ACIR GURGACZ,,,,,SEN. ACIR GURGACZ,RO,PDT,senado
31,ALESSANDRO VIEIRA,,,,,SEN. ALESSANDRO VIEIRA,SE,CIDADANIA,senado
32,ALVARO DIAS,,,,,SEN. ALVARO DIAS,PR,PODEMOS,senado
33,ANGELO CORONEL,,,,,SEN. ANGELO CORONEL,BA,PSD,senado
34,ANTONIO ANASTASIA,,,,,SEN. ANTONIO ANASTASIA,MG,PSD,senado
35,CARLOS FAVARO,,,,,SEN. CARLOS FAVARO,MT,PSD,senado
36,CARLOS PORTINHO,,,,,SEN. CARLOS PORTINHO,RJ,PL,senado
37,CONFUCIO AIRES MOURA,SENADOR CONFUCIO MOURA,CONFUCIO MOURA,,,SEN. CONFUCIO AIRES MOURA,RO,MDB,senado
38,CARLOS VIANA,,,,,SEN. CARLOS VIANA,MG,PSD,senado
39,CHICO RODRIGUES,,,,,SEN. CHICO RODRIGUES,RR,DEM,senado
40,CHIQUINHO FEITOSA,,,,,SEN. CHIQUINHO FEITOSA,CE,DEM,senado
41,CID GOMES,,,,,SEN. CID GOMES,CE,PDT,senado
42,DANIELLA RIBEIRO,,,,,SEN. DANIELLA RIBEIRO,PB,PP,senado
43,DARIO BERGER,,,,,SEN. DARIO BERGER,SC,MDB,senado
44,DAVI ALCOLUMBRE,,,,,SEN. DAVI ALCOLUMBRE,AP,DEM,senado
45,EDUARDO BRAGA,,,,,SEN. EDUARDO BRAGA,AM,MDB,senado
46,EDUARDO GIRAO,,,,,SEN. EDUARDO GIRAO,CE,PODEMOS,senado
47,EDUARDO GOMES,,,,,SEN. EDUARDO GOMES,TO,MDB,senado
48,ELIANE NOGUEIRA,,,,,SEN. ELIANE NOGUEIRA,PI,PP,senado
49,ELIZIANE GAMA,,,,,SEN. ELIZIANE GAMA,MA,CIDADANIA,senado
50,ELMANO FERRER,,,,,SEN. ELMANO FERRER,PI,PP,senado
51,ESPERIDIAO AMIN,,,,,SEN. ESPERIDIAO AMIN,SC,PP,senado
52,FABIANO CONTARATO,,,,,SEN. FABIANO CONTARATO,ES,REDE,senado
53,FERNANDO BEZERRA COELHO,,,,,SEN. FERNANDO BEZERRA COELHO,PE,MDB,senado
54,FERNANDO COLLOR,,,,,SEN. FERNANDO COLLOR,AL,PROS,senado
55,FLAVIO ARNS,,,,,SEN. FLAVIO ARNS,PR,PODEMOS,senado
56,FLAVIO BOLSONARO,,,,,SEN. FLAVIO BOLSONARO,RJ,PL,senado
57,GIORDANO,,,,,SEN. GIORDANO,SP,MDB,senado
58,HUMBERTO COSTA,,,,,SEN. HUMBERTO COSTA,PE,PT,senado
59,IRAJA,,,,,SEN. IRAJA,TO,PSD,senado
60,IZALCI LUCAS,,,,,SEN. IZALCI LUCAS,DF,PSDB,senado
61,JADER BARBALHO,,,,,SEN. JADER BARBALHO,PA,MDB,senado
62,JAQUES WAGNER,,,,,SEN. JAQUES WAGNER,BA,PT,senado
63,JARBAS VASCONCELOS,,,,,SEN. JARBAS VASCONCELOS,PE,MDB,senado
64,JAYME CAMPOS,,,,,SEN. JAYME CAMPOS,MT,DEM,senado
65,JEAN PAUL PRATES,,,,,SEN. JEAN PAUL PRATES,RN,PT,senado
66,JORGE KAJURU,,,,,SEN. JORGE KAJURU,GO,PODEMOS,senado
67,JORGINHO MELLO,,,,,SEN. JORGINHO MELLO,SC,PL,senado
68,JOSE ANIBAL,,,,,SEN. JOSE ANIBAL,SP,PSDB,senado
69,KATIA ABREU,,,,,SEN. KATIA ABREU,TO,PP,senado
70,LASIER MARTINS,,,,,SEN. LASIER MARTINS,RS,PODEMOS,senado
71,LEILA BARROS,,,,,SEN. LEILA BARROS,DF,CIDADANIA,senado
72,LUCAS BARRETO,,,,,SEN. LUCAS BARRETO,AP,PSD,senado
73,LUIS CARLOS HEINZE,,,,,SEN. LUIS CARLOS HEINZE,RS,PP,senado
74,LUIZ DO CARMO,,,,,SEN. LUIZ DO CARMO,GO,MDB,senado
75,MAILZA GOMES,,,,,SEN. MAILZA GOMES,AC,PP,senado
76,MARA GABRILLI,,,,,SEN. MARA GABRILLI,SP,PSDB,senado
77,MARCELO CASTRO,,,,,SEN. MARCELO CASTRO,PI,MDB,senado
78,MARCIO BITTAR,,,,,SEN. MARCIO BITTAR,AC,PSL,senado
79,MARCOS DO VAL,,,,,SEN. MARCOS DO VAL,ES,PODEMOS,senado
80,MARCOS ROGERIO,,,,,SEN. MARCOS ROGERIO,RO,DEM,senado
81,MARIA DO CARMO ALVES,,,,,SEN. MARIA DO CARMO ALVES,SE,DEM,senado
82,MARIA ELIZA,,,,,SEN. MARIA ELIZA,RO,MDB,senado
83,MECIAS DE JESUS,,,,,SEN. MECIAS DE JESUS,RR,REPUBLICANOS,senado
84,NELSINHO TRAD FILHO,,,,,SEN. NELSINHO TRAD FILHO,MS,PSD,senado
85,NILDA GONDIM,,,,,SEN. NILDA GONDIM,PB,MDB,senado
86,OMAR AZIZ,,,,,SEN. OMAR AZIZ,AM,PSD,senado
87,ORIOVISTO GUIMARAES,,,,,SEN. ORIOVISTO GUIMARAES,PR,PODEMOS,senado
88,OTTO ALENCAR,,,,,SEN. OTTO ALENCAR,BA,PSD,senado
89,PAULO PAIM,,,,,SEN. PAULO PAIM,RS,PT,senado
90,PAULO ROCHA,,,,,SEN. PAULO ROCHA,PA,PT,senado
91,PLINIO VALERIO,,,,,SEN. PLINIO VALERIO,AM,PSDB,senado
92,RANDOLFE RODRIGUES,,,,,SEN. RANDOLFE RODRIGUES,AP,REDE,senado
93,REGUFFE,,,,,SEN. REGUFFE,DF,PODEMOS,senado
94,RENAN CALHEIROS,,,,,SEN. RENAN CALHEIROS,AL,MDB,senado
95,ROBERTO ROCHA,,,,,SEN. ROBERTO ROCHA,MA,PSDB,senado
96,RODRIGO SANTOS CUNHA,RODRIGO CUNHA,,,,SEN. RODRIGO SANTOS CUNHA,AL,PSDB,senado
97,RODRIGO PACHECO,,,,,SEN. RODRIGO PACHECO,MG,PSD,senado
98,ROGERIO CARVALHO,,,,,SEN. ROGERIO CARVALHO,SE,PT,senado
99,ROMARIO,,,,,SEN. ROMARIO,RJ,PL,senado
100,ROSE DE FREITAS,,,,,SEN. ROSE DE FREITAS,ES,MDB,senado
101,SERGIO PETECAO,SERGIO PETECAO,,,,SEN. SERGIO PETECAO,AC,PSD,senado
102,SIMONE TEBET,,,,,SEN. SIMONE TEBET,MS,MDB,senado
103,SORAYA THRONICKE,SORAYA THRONICKE,A SORAYA THRONICKE,,,SEN. SORAYA THRONICKE,MS,PSL,senado
104,STYVENSON VALENTIM,,,,,SEN. STYVENSON VALENTIM,RN,PODEMOS,senado
105,TELMARIO MOTA,,,,,SEN. TELMARIO MOTA,RR,PROS,senado
106,VANDERLAN CARDOSO,,,,,SEN. VANDERLAN CARDOSO,GO,PSD,senado
107,VENEZIANO VITAL DO REGO,,,,,SEN. VENEZIANO VITAL DO REGO,PB,MDB,senado
108,WELLINGTON FAGUNDES,,,,,SEN. WELLINGTON FAGUNDES,MT,PL,senado
109,WEVERTON,,,,,SEN. WEVERTON,MA,PDT,senado
110,ZENAIDE MAIA,,,,,SEN. ZENAIDE MAIA,RN,PROS,senado
111,ZEQUINHA MARINHO,,,,,SEN. ZEQUINHA MARINHO,PA,PSC,senado
112,JOSE ABILIO SILVA DE SANTANA,,,,,DEP. JOSE ABILIO SILVA DE SANTANA,BA,PL,camara
113,PAULO SERGIO ABOU ANNI,,,,,DEP. PAULO SERGIO ABOU ANNI,SP,PSL,camara
114,FLAVIA CAROLINA PERES,FLAVIA ARRUDA,,,,DEP. FLAVIA CAROLINA PERES,DF,PL,camara
115,ACACIO DA SILVA FAVACHO NETO,,,,,DEP. ACACIO DA SILVA FAVACHO NETO,AP,PROS,camara
116,ADOLFO VIANA DE CASTRO NETO,,,,,DEP. ADOLFO VIANA DE CASTRO NETO,BA,PSDB,camara
117,ADRIANA MIGUEL VENTURA,,,,,DEP. ADRIANA MIGUEL VENTURA,SP,NOVO,camara
118,ADRIANO ANTONIO AVELAR,,,,,DEP. ADRIANO ANTONIO AVELAR,GO,PP,camara
119,AECIO NEVES DA CUNHA,AECIO NEVES,,,,DEP. AECIO NEVES DA CUNHA,MG,PSDB,camara
120,AELTON JOSE DE FREITAS,,,,,DEP. AELTON JOSE DE FREITAS,MG,PL,camara
121,AFONSO BANDEIRA FLORENCE,,,,,DEP. AFONSO BANDEIRA FLORENCE,BA,PT,camara
122,JOSE ALFONSO EBERT HAMM,,,,,DEP. JOSE ALFONSO EBERT HAMM,RS,PP,camara
123,AFONSO ANTUNES DA MOTTA,,,,,DEP. AFONSO ANTUNES DA MOTTA,RS,PDT,camara
124,AGUINALDO VELLOSO BORGES RIBEIRO,,,,,DEP. AGUINALDO VELLOSO BORGES RIBEIRO,PB,PP,camara
125,AIRTON LUIZ FALEIRO,,,,,DEP. AIRTON LUIZ FALEIRO,PA,PT,camara
126,ANTONIO JOSE AGUIAR ALBUQUERQUE,,,,,DEP. ANTONIO JOSE AGUIAR ALBUQUERQUE,CE,PP,camara
127,ALAN RICK MIRANDA,,,,,DEP. ALAN RICK MIRANDA,AC,DEM,camara
128,ALCEU MOREIRA DA SILVA,,,,,DEP. ALCEU MOREIRA DA SILVA,RS,MDB,camara
129,ALCIDES RODRIGUES FILHO,,,,,DEP. ALCIDES RODRIGUES FILHO,GO,PATRIOTA,camara
130,ALESSANDRA DA SILVA,,,,,DEP. ALESSANDRA DA SILVA,MG,PSL,camara
131,ALENCAR SANTANA BRAGA,,,,,DEP. ALENCAR SANTANA BRAGA,SP,PT,camara
132,ALESSANDRO LUCCIOLA MOLON,,,,,DEP. ALESSANDRO LUCCIOLA MOLON,RJ,PSB,camara
133,ALEX SPINELLI MANENTE,,,,,DEP. ALEX SPINELLI MANENTE,SP,CIDADANIA,camara
134,ALEX MARCO SANTANA SOUSA,,,,,DEP. ALEX MARCO SANTANA SOUSA,BA,PDT,camara
135,ALEXANDRE FROTA DE ANDRADE,,,,,DEP. ALEXANDRE FROTA DE ANDRADE,SP,PSDB,camara
136,ALEXANDRE LEITE DA SILVA,,,,,DEP. ALEXANDRE LEITE DA SILVA,SP,DEM,camara
137,ALEXANDRE ROCHA SANTOS PADILHA,,,,,DEP. ALEXANDRE ROCHA SANTOS PADILHA,SP,PT,camara
138,ALEXIS JOSEPH STEVERLYNCK FONTEYNE,,,,,DEP. ALEXIS JOSEPH STEVERLYNCK FONTEYNE,SP,NOVO,camara
139,ALICE MAZZUCO PORTUGAL,,,ALICE PORTUGAL,,DEP. ALICE MAZZUCO PORTUGAL,BA,PCdoB,camara
140,ALIEL MACHADO BARK,,,,,DEP. ALIEL MACHADO BARK,PR,PSB,camara
141,ALINE PARANHOS VARONIL GURGEL,,,,,DEP. ALINE PARANHOS VARONIL GURGEL,AP,REPUBLICANOS,camara
142,ALINE SLEUTJES,ALINE SLEUTJES,,,,DEP. ALINE SLEUTJES,PR,PSL,camara
143,ALTINEU CORTES FREITAS COUTINHO,,,,,DEP. ALTINEU CORTES FREITAS COUTINHO,RJ,PL,camara
144,ALUISIO GUIMARAES MENDES FILHO,,,,,DEP. ALUISIO GUIMARAES MENDES FILHO,MA,PSC,camara
145,AMARO ROCHA NASCIMENTO NETO,AMARO NETO,,,,DEP. AMARO ROCHA NASCIMENTO NETO,ES,REPUBLICANOS,camara
146,ANDRE DOS SANTOS ABDON,,,,,DEP. ANDRE DOS SANTOS ABDON,AP,PP,camara
147,ANDRE CARLOS ALVES DE PAULA FILHO,,,,,DEP. ANDRE CARLOS ALVES DE PAULA FILHO,PE,PSD,camara
148,ANDRE FERREIRA RODRIGUES,,,,,DEP. ANDRE FERREIRA RODRIGUES,PE,PSC,camara
149,ANDRE PEIXOTO FIGUEIREDO LIMA,,,,,DEP. ANDRE PEIXOTO FIGUEIREDO LIMA,CE,PDT,camara
150,ANDRE LUIZ CARVALHO RIBEIRO,,,,,DEP. ANDRE LUIZ CARVALHO RIBEIRO,MA,PP,camara
151,ANDRE LUIS GASPAR JANONES,ANDRE JANONES,,,,DEP. ANDRE LUIS GASPAR JANONES,MG,AVANTE,camara
152,ANGELA REGINA HEINZEN AMIN HELOU,,,,,DEP. ANGELA REGINA HEINZEN AMIN HELOU,SC,PP,camara
153,ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,,,,,DEP. ANTONIO LUIZ PARANHOS RIBEIRO LEITE DE BRITO,BA,PSD,camara
154,ARLINDO CHIGNALIA JUNIOR,,,,,DEP. ARLINDO CHIGNALIA JUNIOR,SP,PT,camara
155,ARNALDO CALIL PEREIRA JARDIM,,,,,DEP. ARNALDO CALIL PEREIRA JARDIM,SP,CIDADANIA,camara
156,JOSE AROLDO SOUZA MARTINS,,,,,DEP. JOSE AROLDO SOUZA MARTINS,PR,REPUBLICANOS,camara
157,ARTHUR CESAR PEREIRA DE LIRA,,,,,DEP. ARTHUR CESAR PEREIRA DE LIRA,AL,PP,camara
158,ARTHUR DE OLIVEIRA MAIA DA SILVA,,,,,DEP. ARTHUR DE OLIVEIRA MAIA DA SILVA,BA,DEM,camara
159,ATILA SIDNEY LINS ALBUQUERQUE,,,,,DEP. ATILA SIDNEY LINS ALBUQUERQUE,AM,PP,camara
160,ATILA FREITAS LIRA,,,,,DEP. ATILA FREITAS LIRA,PI,PP,camara
161,AUGUSTO RODRIGUES COUTINHO DE MELO,,,,,DEP. AUGUSTO RODRIGUES COUTINHO DE MELO,PE,SOLIDARIEDADE,camara
162,AUREA CAROLINA DE FREITAS E SILVA,AUREA CAROLINA,AUREA CAROLINA,AUREA CAROLINA,,DEP. AUREA CAROLINA DE FREITAS E SILVA,MG,PSOL,camara
163,AUREO LIDIO MOREIRA RIBEIRO,,,,,DEP. AUREO LIDIO MOREIRA RIBEIRO,RJ,SOLIDARIEDADE,camara
164,JOAO CARLOS BACELAR BATISTA,,,,,DEP. JOAO CARLOS BACELAR BATISTA,BA,PODE,camara
165,LUIZ FELIPE BALEIA TENUTO ROSSI,,,,,DEP. LUIZ FELIPE BALEIA TENUTO ROSSI,SP,MDB,camara
166,BENEDITA SOUZA DA SILVA SAMPAIO,,,,,DEP. BENEDITA SOUZA DA SILVA SAMPAIO,RJ,PT,camara
167,LUIZ BENES LEOCADIO DE ARAUJO,,,,,DEP. LUIZ BENES LEOCADIO DE ARAUJO,RN,REPUBLICANOS,camara
168,JOSE ROBERTO OLIVEIRA FARO,,,,,DEP. JOSE ROBERTO OLIVEIRA FARO,PA,PT,camara
169,HUMBERTO REZENDE PEREIRA,,,,,DEP. HUMBERTO REZENDE PEREIRA,MS,PSDB,camara
170,CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,,,,,DEP. CARLOS ALBERTO DE SOUSA ROSADO SEGUNDO,RN,PP,camara
171,BEATRIZ ROSALIA RIBEIRO CAVASSA DE OLIVEIRA,,,,,DEP. BEATRIZ ROSALIA RIBEIRO CAVASSA DE OLIVEIRA,MS,PSDB,camara
172,BEATRIZ KICIS TORRENTS DE SORDI,,,,,DEP. BEATRIZ KICIS TORRENTS DE SORDI,DF,PSL,camara
173,ALCIBIO MESQUITA BIBO NUNES,,,,,DEP. ALCIBIO MESQUITA BIBO NUNES,RS,PSL,camara
174,OLAVO BILAC PINTO NETO,BILAC PINTO,BILAC PINTO,,,DEP. OLAVO BILAC PINTO NETO,MG,DEM,camara
175,UBIRAJARA DO PINDARE ALMEIDA SOUSA,,,,,DEP. UBIRAJARA DO PINDARE ALMEIDA SOUSA,MA,PSB,camara
176,ELVINO JOSE BOHN GASS,,,,,DEP. ELVINO JOSE BOHN GASS,RS,PT,camara
177,JOAO BOSCO DA COSTA,,,,,DEP. JOAO BOSCO DA COSTA,SE,PL,camara
178,JOAO BOSCO GOMES SARAIVA,,,,,DEP. JOAO BOSCO GOMES SARAIVA,AM,SOLIDARIEDADE,camara
179,NICOLINO BOZZELLA JUNIOR,,,,,DEP. NICOLINO BOZZELLA JUNIOR,SP,PSL,camara
180,BRUNA DIAS FURLAN,,,,,DEP. BRUNA DIAS FURLAN,SP,PSDB,camara
181,CARLOS FELIPE VAZQUEZ DE SOUZA LEAO,,,,,DEP. CARLOS FELIPE VAZQUEZ DE SOUZA LEAO,BA,PP,camara
182,CARLOS CAMILO GOES CAPIBERIBE,,,,,DEP. CARLOS CAMILO GOES CAPIBERIBE,AP,PSB,camara
183,ALBERTO BARROS CAVALCANTE NETO,,,,,DEP. ALBERTO BARROS CAVALCANTE NETO,AM,REPUBLICANOS,camara
184,JOSE AUGUSTO ROSA,,,,,DEP. JOSE AUGUSTO ROSA,SP,PL,camara
185,FABIO ABREU COSTA,,,,,DEP. FABIO ABREU COSTA,PI,PL,camara
186,WAGNER SOUSA GOMES,,,,,DEP. WAGNER SOUSA GOMES,CE,PROS,camara
187,HILKEA CARLA DE SOUZA MEDEIROS LIMA,CARLA DICKSON,,,,DEP. HILKEA CARLA DE SOUZA MEDEIROS LIMA,RN,PROS,camara
188,CARLA ZAMBELLI SALGADO DE OLIVEIRA,,,,,DEP. CARLA ZAMBELLI SALGADO DE OLIVEIRA,SP,PSL,camara
189,CARLOS GOMES BEZERRA,,,,,DEP. CARLOS GOMES BEZERRA,MT,MDB,camara
190,CARLOS ALBERTO CHIODINI,,,,,DEP. CARLOS ALBERTO CHIODINI,SC,MDB,camara
191,ANTONIO CARLOS GOMES DA SILVA,,,,,DEP. ANTONIO CARLOS GOMES DA SILVA,RS,REPUBLICANOS,camara
192,CARLOS HENRIQUE AMORIM,,,,,DEP. CARLOS HENRIQUE AMORIM,TO,DEM,camara
193,CARLOS ROBERTO COELHO DE MATTOS JUNIOR,,,,,DEP. CARLOS ROBERTO COELHO DE MATTOS JUNIOR,RJ,PSL,camara
194,CARLOS HENRIQUE FOCESI SAMPAIO,,,,,DEP. CARLOS HENRIQUE FOCESI SAMPAIO,SP,PSDB,camara
195,JOSE CARLOS VERAS DOS SANTOS,,,,,DEP. JOSE CARLOS VERAS DOS SANTOS,PE,PT,camara
196,CARLOS ALBERTO ROLIM ZARATTINI,,,,,DEP. CARLOS ALBERTO ROLIM ZARATTINI,SP,PT,camara
197,CARMEN EMILIA BONFA ZANOTTO,,,,,DEP. CARMEN EMILIA BONFA ZANOTTO,SC,CIDADANIA,camara
198,CAROLINE RODRIGUES DE TONI,,,,,DEP. CAROLINE RODRIGUES DE TONI,SC,PSL,camara
199,CASSIO COELHO ANDRADE,,,,,DEP. CASSIO COELHO ANDRADE,PA,PSB,camara
200,CELINA LEAO HIZIM FERREIRA,,,,,DEP. CELINA LEAO HIZIM FERREIRA,DF,PP,camara
201,CELIO ALVES DE MOURA,,,,,DEP. CELIO ALVES DE MOURA,TO,PT,camara
202,CELIO ANTONIO DA SILVEIRA,,,,,DEP. CELIO ANTONIO DA SILVEIRA,GO,PSDB,camara
203,CELIO STUDART BARBOSA,,,,,DEP. CELIO STUDART BARBOSA,CE,PV,camara
204,CELSO MALDANER,,,,,DEP. CELSO MALDANER,SC,MDB,camara
205,CELSO UBIRAJARA RUSSOMANNO,,,,,DEP. CELSO UBIRAJARA RUSSOMANNO,SP,REPUBLICANOS,camara
206,CELSO SABINO DE OLIVEIRA,,CELSO SABINO,,,DEP. CELSO SABINO DE OLIVEIRA,PA,PSL,camara
207,ANTONIO CEZAR CORREIA FREIRE,,,,,DEP. ANTONIO CEZAR CORREIA FREIRE,SP,PSD,camara
208,CHARLES FERNANDES SILVEIRA SANTANA,,,,,DEP. CHARLES FERNANDES SILVEIRA SANTANA,BA,PSD,camara
209,CHARLLES THOMACELLI EVANGELISTA,CHARLES EVANGELISTA,,,,DEP. CHARLLES THOMACELLI EVANGELISTA,MG,PSL,camara
210,FRANCISCO JOSE D'ANGELO PINTO,,,,,DEP. FRANCISCO JOSE D'ANGELO PINTO,RJ,PDT,camara
211,JOAO FRANCISCO INACIO BRAZAO,,,,,DEP. JOAO FRANCISCO INACIO BRAZAO,RJ,AVANTE,camara
212,JOAO INACIO RIBEIRO ROMA NETO,JOAO INÁCIO RIBEIRO ROMA NETO,JOAO ROMA,JOAO INACIO RIBEIRO ROMA NETO,,DEP. JOAO INACIO RIBEIRO ROMA NETO,PE,REPUBLICANOS,camara
213,CHRISTINE NOGUEIRA DOS REIS TONIETTO,,,,,DEP. CHRISTINE NOGUEIRA DOS REIS TONIETTO,RJ,PSL,camara
214,CHRISTIANE DE SOUZA YARED,,,,,DEP. CHRISTIANE DE SOUZA YARED,PR,PL,camara
215,CHRISTINO AUREO DA SILVA,,,,,DEP. CHRISTINO AUREO DA SILVA,RJ,PP,camara
216,CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,,,,,DEP. CLARISSA BARROS ASSED MATHEUS DE OLIVEIRA,RJ,PROS,camara
217,CLAUDIO CAJADO SAMPAIO,,,,,DEP. CLAUDIO CAJADO SAMPAIO,BA,PP,camara
218,CLEBER VERDE CORDEIRO MENDES,,,,,DEP. CLEBER VERDE CORDEIRO MENDES,MA,REPUBLICANOS,camara
219,LUIZ ARMANDO SCHROEDER REIS,,,,,DEP. LUIZ ARMANDO SCHROEDER REIS,SC,PSL,camara
220,JOAO CHRISOSTOMO DE MOURA,CORONEL CHRISOSTOMO,,,,DEP. JOAO CHRISOSTOMO DE MOURA,RO,PSL,camara
221,MARCIO TADEU ANHAIA DE LEMOS,,,,,DEP. MARCIO TADEU ANHAIA DE LEMOS,SP,PSL,camara
222,LUIS ANTONIO FRANCISCATTO COVATTI,,,,,DEP. LUIS ANTONIO FRANCISCATTO COVATTI,RS,PP,camara
223,CRISTIANO DUTRA VALE,,,,,DEP. CRISTIANO DUTRA VALE,PA,PL,camara
224,JOSIAS MARIO DA VITORIA,DA VITORIA,,,,DEP. JOSIAS MARIO DA VITORIA,ES,CIDADANIA,camara
225,DAGOBERTO NOGUEIRA FILHO,,,,,DEP. DAGOBERTO NOGUEIRA FILHO,MS,PDT,camara
226,DAMIAO FELICIANO DA SILVA,,,,,DEP. DAMIAO FELICIANO DA SILVA,PB,PDT,camara
227,DANIEL GOMES DE ALMEIDA,,,,,DEP. DANIEL GOMES DE ALMEIDA,BA,PCdoB,camara
228,DANIEL PIRES COELHO,,,,,DEP. DANIEL PIRES COELHO,PE,CIDADANIA,camara
229,DANIEL COSTA DE FREITAS,,,,,DEP. DANIEL COSTA DE FREITAS,SC,PSL,camara
230,DANIEL LUCIO DA SILVEIRA,,,,,DEP. DANIEL LUCIO DA SILVEIRA,RJ,PSL,camara
231,DANIEL TRZECIAK DUARTE,,,,,DEP. DANIEL TRZECIAK DUARTE,RS,PSDB,camara
232,DANIELA MOTE DE SOUZA CARNEIRO,,,,,DEP. DANIELA MOTE DE SOUZA CARNEIRO,RJ,MDB,camara
233,DANILO JORGE DE BARROS CABRAL,,,,,DEP. DANILO JORGE DE BARROS CABRAL,PE,PSB,camara
234,FRANCISCO DANILO BASTOS FORTE,,,,,DEP. FRANCISCO DANILO BASTOS FORTE,CE,PSDB,camara
235,DARCI DE MATOS,,,,,DEP. DARCI DE MATOS,SC,PSD,camara
236,DAVID MICHAEL DOS SANTOS MIRANDA,,,,,DEP. DAVID MICHAEL DOS SANTOS MIRANDA,RJ,PSOL,camara
237,ANTONIO DA LUZ FURTADO,,,,,DEP. ANTONIO DA LUZ FURTADO,RJ,PSL,camara
238,EDER MAURO CARDOSO BARRA,,,,,DEP. EDER MAURO CARDOSO BARRA,PA,PSD,camara
239,MARCELO EDUARDO FREITAS,DELEGADO MARCELO FREITAS,,,,DEP. MARCELO EDUARDO FREITAS,MG,PSL,camara
240,PABLO OLIVA SOUZA,,,,,DEP. PABLO OLIVA SOUZA,AM,PSL,camara
241,WALDIR SOARES DE OLIVEIRA,,,,,DEP. WALDIR SOARES DE OLIVEIRA,GO,PSL,camara
242,DENIS ANDERSON DA ROCHA BEZERRA,,,,,DEP. DENIS ANDERSON DA ROCHA BEZERRA,CE,PSB,camara
